learning_rate,epochs,hidden_layers,activation,optimizer,validation_mse,validation_rmse,validation_R-squared
0.001,100,"[10, 20, 30, 20, 10]",linear,mini-batch,[40.93805626],[6.39828542],[0.52262737]
0.001,100,"[10, 20, 30, 20, 10]",linear,sgd,[37.9689685],[6.1618965],[0.55724946]
0.001,100,"[10, 20, 30, 20, 10]",linear,batch,[49.66802291],[7.04755439],[0.42082852]
0.01,100,"[10, 20, 30, 20, 10]",linear,mini-batch,[1.68700838e+26],[1.29884887e+13],[-1.96719558e+24]
0.01,100,"[10, 20, 30, 20, 10]",linear,batch,[336.77540544],[18.35144151],[-2.9270883]
0.001,100,"[10, 20, 10]",linear,mini-batch,[38.06398263],[6.1696015],[0.55614152]
0.001,100,"[10, 20, 10]",linear,sgd,[35.02141768],[5.91788963],[0.59162042]
0.001,100,"[10, 20, 10]",linear,batch,[42.28765634],[6.502896],[0.50688988]
0.01,100,"[10, 20, 10]",linear,mini-batch,[50.985332],[7.14040139],[0.40546757]
0.01,100,"[10, 20, 10]",linear,batch,[38.1108379],[6.1733976],[0.55559514]
0.001,150,"[10, 20, 30, 20, 10]",linear,mini-batch,[39.74968347],[6.304735],[0.53648481]
0.001,150,"[10, 20, 30, 20, 10]",linear,sgd,[37.9689685],[6.1618965],[0.55724946]
0.001,150,"[10, 20, 30, 20, 10]",linear,batch,[42.64751312],[6.53050634],[0.50269364]
0.01,150,"[10, 20, 30, 20, 10]",linear,mini-batch,[1.68700838e+26],[1.29884887e+13],[-1.96719558e+24]
0.01,150,"[10, 20, 30, 20, 10]",linear,batch,[336.77540544],[18.35144151],[-2.9270883]
0.001,150,"[10, 20, 10]",linear,mini-batch,[37.50005455],[6.12372881],[0.5627174]
0.001,150,"[10, 20, 10]",linear,sgd,[35.02141768],[5.91788963],[0.59162042]
0.001,150,"[10, 20, 10]",linear,batch,[40.16002712],[6.33719395],[0.53169985]
0.01,150,"[10, 20, 10]",linear,mini-batch,[50.985332],[7.14040139],[0.40546757]
0.01,150,"[10, 20, 10]",linear,batch,[36.47377551],[6.03935224],[0.57468469]
0.001,200,"[10, 20, 30, 20, 10]",linear,mini-batch,[39.74968347],[6.304735],[0.53648481]
0.001,200,"[10, 20, 30, 20, 10]",linear,sgd,[37.9689685],[6.1618965],[0.55724946]
0.001,200,"[10, 20, 30, 20, 10]",linear,batch,[41.58635139],[6.44874805],[0.51506769]
0.01,200,"[10, 20, 30, 20, 10]",linear,mini-batch,[1.68700838e+26],[1.29884887e+13],[-1.96719558e+24]
0.01,200,"[10, 20, 30, 20, 10]",linear,batch,[336.77540544],[18.35144151],[-2.9270883]
